run,ms
1,251
2,234
3,227
4,226
5,227
6,250
7,226
8,242
9,226
10,229
11,226
12,223
13,238
14,286
15,227
16,225
17,232
18,225
19,227
20,224
21,222
22,199
23,228
24,216
25,196
26,218
27,214
28,216
29,231
30,216
