run,ms
1,236
2,214
3,210
4,222
5,221
6,200
7,202
8,198
9,200
10,200
11,198
12,201
13,196
14,186
15,200
16,218
17,216
18,230
19,204
20,220
21,220
22,201
23,209
24,239
25,221
26,225
27,207
28,252
29,222
30,212
