run,ms
1,236
2,222
3,221
4,211
5,202
6,200
7,232
8,226
9,212
10,194
11,226
12,221
13,214
14,224
15,224
16,225
17,232
18,218
19,217
20,226
21,240
22,199
23,195
24,219
25,211
26,203
27,204
28,210
29,203
30,208
