run,ms
1,211
2,176
3,173
4,191
5,153
6,185
7,155
8,166
9,168
10,155
11,169
12,167
13,169
14,173
15,168
16,180
17,209
18,194
19,170
20,177
21,169
22,171
23,170
24,185
25,174
26,179
27,174
28,178
29,186
30,175
