run,ms
1,494
2,165
3,164
4,164
5,167
6,152
7,163
8,165
9,164
10,165
11,164
12,165
13,166
14,173
15,153
16,167
17,174
18,167
19,172
20,168
21,167
22,156
23,172
24,171
25,167
26,170
27,169
28,176
29,171
30,167
