run,ms
1,195
2,173
3,165
4,164
5,165
6,167
7,167
8,162
9,175
10,169
11,168
12,181
13,166
14,170
15,168
16,168
17,170
18,170
19,168
20,168
21,170
22,170
23,166
24,175
25,167
26,175
27,154
28,170
29,178
30,169
