run,ms
1,210
2,152
3,165
4,165
5,173
6,168
7,166
8,166
9,166
10,153
11,169
12,170
13,168
14,166
15,166
16,167
17,168
18,178
19,165
20,154
21,179
22,171
23,172
24,168
25,169
26,167
27,166
28,176
29,169
30,165
